,log Length (pc),log Mass (Msun),Line Mass (Msun / pc),Thermal critical line mass,Turbulent critical line mass,Magnetic critical line mass,Shear critical line mass
78,1.818,4.259034,276.079398450462,327.2766861811855,1796.4525715558796,3861.0297469174884,3868.999663979663
79,2.715595,6.036237,2092.386936922842,59968.455780751174,80378.66359734572,80852.19549905717,80914.69822057053
80,1.481189,3.289119,64.25841366438455,658.6933497892915,678.2222937522556,927.6156573418555,952.0095509155482
81,3.824182,8.317744,31157.456689359547,82163.78990785962,257564.50683133263,263744.8698100334,264179.55430600955
82,2.311782,5.334226,1053.0378946509595,1049.7898512551274,1412.2943859106983,7981.05373814091,8065.189056952604
83,1.718742,4.115748,249.46291912808135,207.56241546938017,6588.764821441806,9698.150691740979,9764.441136679128
84,1.538948,3.988978,281.85776249845753,14322.805429407477,15243.350000016746,15749.325220759421,15807.479085288933
85,2.798903,6.415601,4137.118875093142,60468.05491128102,83095.3261503013,86496.04818915263,86534.55366513092
86,2.199342,5.44431,1757.794090131924,114304.95305907112,152632.61033459197,158219.4755961463,158226.29942346577
87,2.430585,5.681829,1783.3804440304161,224888.22840085803,255235.64604257967,263480.28751471743,263575.0645448537
88,2.608226,6.106156,3147.240997903153,609190.6536372965,616388.8167448118,640538.4471487694,640613.3000138262
89,2.057519,4.872549,653.175670866012,421.54627094662675,534.8148117500208,4647.103952016198,4647.162860935514
90,3.752963,8.032124,19017.831710882954,34424.52227063934,110008.64051067027,117038.49367739749,117387.0275816332
91,3.122534,6.824325,5032.583623057764,444.03331868863813,476.80380678259337,3512.1484289863797,3512.442880279085
92,2.673128,6.159857,3067.1075143296916,60775.10256446858,73582.73366272115,76699.53901656391,76718.64653610367
93,2.476077,5.877642,2520.9544576952053,539.4200163190893,846.3976515435552,4362.094084794426,4362.145336814107
94,2.56384,5.983012,2625.2580568955186,9520.540180874155,143493.47612496457,151418.41417641676,151445.27892588705
95,2.309885,5.50513,1567.6351759878316,1035268.4098062995,1535114.2322143833,1536609.7748961966,1536858.9578244684
96,3.075518,6.740614,4624.832411747179,21661.88155198202,23868.561688529964,39504.44076573069,39698.92640639316
97,4.022122,8.176833,14279.434214829396,19386.300517435662,31582.52569510449,34272.42479058984,34291.88214766318
98,2.108858,4.856097,558.7776154283398,10085.481299380523,26255.99188590437,32867.72912925552,32982.858208390826
99,2.778131,6.347068,3706.26953676581,364988.42491404014,695167.6391569654,697503.2448648812,697565.3394850079
