,log Length,log Mass,Line Mass,Thermal,Total,Magnetic
114,3.830716,8.376153,35110.49885278229,3146.942697367539,10657.393369511537,18877.606492047023
115,2.438878,5.788549,2237.0258364798615,486.5340003458053,1010.5275886446972,6614.569022125268
116,2.281505,5.241012,910.9761353480658,1756.2689408946167,6602.319008788222,23549.59342960954
117,2.23153,5.28938,1142.4836667579323,1619.882484831455,1829.9328134597133,14338.423164957698
118,1.90558,4.446036,347.1011079934033,1769.1390614637942,1769.286930084208,5114.988511519574
119,2.680993,6.317157,4326.77189460671,953.9276158384854,1199.7144983616638,21599.896745400612
120,2.750282,6.264143,3264.8332141597525,2090.1807986780486,2692.9795071278413,36067.10627764629
121,1.708134,3.905201,157.42257065729353,2086.962343894997,2086.962343894997,58308.93880840368
122,2.68454,6.019728,2163.6549369579016,2265.747893513772,2884.2838328375883,4581.356342031995
123,1.549963,4.011419,289.37166289472793,,,
124,3.993387,8.254065,18225.43908145748,205.92649695684594,584.8057780142888,4222.122195615926
125,3.834386,8.295337,28903.537549798737,422.43935343079744,2133.8386038424555,11038.716549989564
126,1.56515,3.967074,252.30392108976645,,,
127,2.475541,5.799321,2107.56025537328,640.2803537508759,686.0486872759188,5765.096542599362
128,1.978452,4.783771,638.7324786731273,8544.349010781203,10155.43070856359,11885.948278568438
129,2.787857,6.377528,3887.505352568469,351.10912469053216,613.0423920658286,1393.07829105956
130,1.575588,3.958856,241.69518579490705,1800.7420860155073,1800.7420860155073,6778.274770300739
131,2.738081,6.184127,2792.8396401141463,2346.0689015742523,3292.289106520431,4010.5855729702994
132,2.199755,4.775725,376.6777781060883,2626.703099407285,2631.5996580343667,4296.490376318651
133,2.449773,5.160118,513.2689587642263,585.926201354802,629.0071028936969,1272.1490798610441
134,1.575588,3.74119,146.42053858347398,40391.85330857366,46798.1512980684,51413.420690462335
135,3.084898,6.959562,7493.142641075688,5505.238078235495,12244.347059137133,17268.398042106935
136,2.760138,6.35435,3928.366510441203,900.3176250430097,1055.8323036743932,3360.384882342739
137,3.629279,7.896076,18484.04427000117,453.29219427522975,1135.1306002542499,6994.672671062289
138,2.221389,5.163152,874.5064157602416,2310.6001680894824,7193.352782281529,16725.764901724957
139,1.773107,4.44777,472.78424963522303,2200.1457203497985,2242.4669195037504,6537.253658497475
140,1.886752,3.808028,83.42111686433667,,,
141,2.434287,4.796678,230.35147632741075,8661.790550120142,9770.73311582088,13940.655932319587
142,2.186315,4.324721,137.5327098136245,6519.158907106553,7087.6123040565935,11999.408845491569
143,2.501803,5.750172,1771.6135774082886,12081.614148541245,13620.123524004503,14420.160393570204
144,3.217928,6.949242,5386.590986002248,902.1676111329199,1537.2436625248447,2401.746574388696
145,2.035795,4.934618,792.1784063803178,2250.710548454177,3389.691556093916,5452.871880354682
146,1.549963,4.120599,372.0797202696173,974.9828967139574,1024.126085974315,1520.8814180266124
147,3.267994,7.032032,5808.152356051587,818.6993507591585,1791.1050819998786,2921.27494100719
148,2.505236,5.921244,2606.2015575635724,1976.0479943359176,2326.7625823574467,18938.943978618438
149,3.791596,7.800716,10212.216186885977,396.3805467853952,2504.7446223452366,16431.206196321767
150,1.939113,4.645141,508.19220586671753,3445.0452365669516,17346.468960783754,19675.8831903773
151,3.034881,6.880537,7008.999031936515,945.7875713334353,1842.5571289334434,13007.217850492514
152,1.823828,3.689392,73.37768398024171,,,
153,2.557379,6.008931,2828.4727563319593,3256.2633487433,5327.057344543262,6360.60470905786
154,1.79118,4.335672,350.34183470704284,3265.0803453504727,3564.104928372966,5346.487154281609
155,3.587113,8.000721,25918.388776127213,1482.545758064009,4634.4888764725365,7939.70467329903
156,2.139832,5.329895,1549.0413109790072,7698.519941034643,8974.935097113435,9039.635121985315
157,2.414387,5.170026,569.6905297201397,,,
158,3.505569,7.630611,13336.504013554144,1287.1453436040447,1555.0302147386603,20250.762730457358
159,1.549963,4.009007,287.7689949510303,15638.344949083188,15638.344949083188,15746.90155929455
160,1.964329,4.864838,795.2597457417536,6360.80248733159,6360.80248733159,8449.801564339414
161,2.252038,5.089553,687.8836705587983,,,
162,2.619594,5.834809,1641.402157745215,1652.6018390444328,6989.35039464889,12673.374802168839
163,2.333257,5.434908,1263.720410822256,1050.006338516941,1129.488074997781,1391.9518187810097
164,1.71126,4.298617,386.68471012262245,,,
165,2.232469,5.281228,1118.8168539579647,428.9351910017006,465.9087093173376,955.5797850973361
166,2.341845,5.513434,1484.530073751086,1954.868378878117,2398.607615154764,5767.818037898276
167,2.555229,5.432602,754.0028718222716,1198.0837619758968,1708.7852548839505,5533.447606562329
168,1.806068,4.536742,537.8658858217372,2922.7946842475585,2968.1620560419683,5012.9160144253565
169,1.826225,4.27378,280.2560521567981,1443.8737932114718,2210.170323650783,10094.009520039013
170,1.599728,3.477175,75.4131358295631,1613.844815631333,1702.5852013318845,2460.5266223589488
171,2.08007,4.523145,277.37990814236616,1219.7719980534919,1504.4964187990909,3348.640950309571
172,1.481189,3.331307,70.81381629564208,4935.286824219341,5376.150481956234,10294.793173280565
173,2.25546,4.724779,294.6585178544265,2372.382957725171,2466.716324245121,8010.954726953105
174,2.165024,4.782872,414.8088370633947,,,
175,1.926335,4.386767,288.6901724891817,9484.659123881558,9491.267594725497,16880.370590065966
176,1.575588,3.720958,139.75585130426248,,,
177,1.954067,4.573179,416.0178833177313,,,
178,3.991967,8.63306,43761.580635508,627.3930253113996,4276.466985433638,19396.34725404996
179,3.06538,6.72545,4571.618694642213,166.19836858827023,196.73499599368253,6626.768076539484
180,1.881714,4.212527,214.19681065923217,9200.80190261617,9200.80190261617,47019.2045603667
181,2.236048,4.781293,350.94980060472557,9182.229453863512,9238.511461063428,17450.138540152737
182,2.335044,5.489469,1427.0033741325112,1732.2670669116237,2847.766191803693,7498.16706910454
183,1.759856,3.900091,138.1131402999864,1317.2962491038807,,
184,1.726096,3.8741,140.60604743658277,1122.3200935847046,1125.5105644170371,3346.497011721634
185,1.700511,3.991355,195.36375767095572,1420.546289109425,1420.546289109425,4816.559196879735
186,1.718742,3.831204,129.55733321794796,,,
187,2.756995,6.455947,4999.792721717919,1305.7717929366986,1549.897189559545,19289.680389932568
